,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,targeted,hateful,aggressive
0,0S9RKAhqQvs,UCgKKgbBri25DcpyniH4uwRw,Él es hijo de emigrante y para vergüenza de nosotros es cubano ; no hay peor astilla que la de la misma madera,[0. 0. 0. ... 0. 0. 0.],hijo emigrant verg enza cubano peor astilla misma madera,-1.0,0.04920347407460213,0.7504925727844238,0.40312495827674866
1,0S9RKAhqQvs,UCmtEIVdiYIuW7m1rqqtsgNw,"Aunque a los politicamente correctos no les guste, los datos lo dicen, la cultura como el mismo amigo del video lo dice si influye, y nos guste o no, la cruda realidad es que la inmigracion descontrolada solo trae perjuicio para el capital social traducido en delincuencia, asesinatos y Vi0...... Lo mejor es la migracion controlada, sin darle paso a lo negativo.",[0. 0. 0. ... 0. 0. 0.],aunqu politicament correcto gust dato dicen cultura mismo amigo video dice influy gust cruda realidad inmigracion descontrolada solo trae perjuicio capit social traducido delincuencia asesinato mejor migracion controlada darl paso negativo,-1.0,0.005092673934996128,0.04404830560088158,0.022208869457244873
2,0S9RKAhqQvs,UCmIPxcX0xEesuwcuIEM8B4Q,Mira….el burro hablando de orejas?,[0. 0. 0. ... 0. 0. 0.],mira burro hablando oreja,-1.0,0.015398221090435982,0.03430349379777908,0.016727745532989502
3,0S9RKAhqQvs,UC01_fyduUYIUpaEYlgUvs8Q,Que Buena ley  cubanos  se les acabo  su salidita  acubaaa  mira que abusadores  lesdan  asilo y seban  avacacionar  lesda  la mano  y agarran la pata,[0. 0. 0. ... 0. 0. 0.],buena cubano acabo salidita acubaaa mira abusador lesdan asilo seban avacacionar lesda mano agarran pata,-1.0,0.015348311513662338,0.6764154434204102,0.3158648908138275
4,0S9RKAhqQvs,UCFrJmuq39GXFyZ1nYchLwZg,Pero. Si los rasistas    republicanos en pesaron a. Joder primero alos verdaderos nativos. Americanos que   si hacen rasismo con ellos como no van ah ser rasista con los ilegales que no estan aqui para matar gente estan para aportar.   Pero.   Por lo menos en ser rasistas. Lo expresan en eso son onestos pero los demonios democratas estos. Hablan de ser amigos de los imigrantes son los que mas deportan. I son los que mas afectan alos imigrantes,[0. 0. 0. ... 0. 0. 0.],rasista republicano pesaron joder primero alo verdadero nativo americano hacen rasismo rasista ilegal estan aqui matar gent estan aportar meno rasista expresan onesto demonio democrata hablan amigo imigrant deportan afectan alo imigrant,-1.0,0.037913527339696884,0.9367547631263733,0.7439017295837402
5,0S9RKAhqQvs,UCQN5mBC1eyMWDzeWmwj2k8g,No se de q se sienten orgullosos los eeuu ya q fue un pais poblado x inmigrantes  un pais sin raices ni cultura como la q tiene  mexico y varios paises de latinoamericsse olvidan de sus origenes... Eeuu drjen de invafir robar crear guerras y de consumir drogas vean primero su pais antes de criticar a los otros e invesyiguen a gdorge doros q esta financiando las inmigraciones a eeuu con el unico objeto de provocar caos mundial y sacar $$$$$$$$$provecho provocando desestabilidad,[0. 0. 0. ... 0. 0. 0.],sienten orgulloso eeuu pai poblado inmigrant pai raic cultura mexico vario pais latinoamericss olvidan origen eeuu drjen invafir robar crear guerra consumir droga vean primero pai criticar invesyiguen gdorg doro financiando inmigracion eeuu unico objeto provocar cao mundial sacar provecho provocando desestabilidad,-1.0,0.010674474760890007,0.7847967147827148,0.4151417016983032
6,0S9RKAhqQvs,UCQN5mBC1eyMWDzeWmwj2k8g,Pobre se cree gringo natural 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 Que poco cetebro y q poca madre,[0. 0. 0. ... 0. 0. 0.],pobr cree gringo natur cetebro poca madr,-1.0,0.1272212415933609,0.42555180191993713,0.305688738822937
7,0S9RKAhqQvs,UCNza_P2X1RgS60Dl8Qh0TCQ,Politico Mas hipocrita hojete,[0. 0. 0. ... 0. 0. 0.],politico hipocrita hojet,-1.0,0.17692293226718903,0.13273188471794128,0.17983248829841614
8,0S9RKAhqQvs,UCNEiTG8yLK_k6rDJZrzDivQ,Ala bergaaaa a estos racistas Repúblicanos,[0. 0. 0. ... 0. 0. 0.],bergaaaa racista blicano,-1.0,0.7726042866706848,0.9303339123725891,0.86039137840271
9,0S9RKAhqQvs,UCqt452AgY3uuUdQP43r2jhA,"Eeeeeee
Hasta tartamudo es este
Tipo
De que hipocresía habla 
Bueno empezando por el entonces……",[0. 0. 0. ... 0. 0. 0.],eeeeeee tartamudo tipo hipocr habla bueno empezando entonc,-1.0,0.03438328951597214,0.07966958731412888,0.03905755281448364
10,7GEthqco3Ys,UCVCGYpsodd0RVtHwbARUJlQ,"MÉXICO ESTA EN CRISIS, SE PIERDE LA DEMOCRACIA.. AMLO LE COMPRA LA PRESIDENCIA A CLAUDIA SHEINBAUM",[0. 0. 0. ... 0. 0. 0.],xico crisi pierd democracia amlo compra presidencia claudia sheinbaum,-1.0,0.013439686968922615,0.02951965294778347,0.01727405935525894
11,7GEthqco3Ys,UC59BKJ-M4IhxdS83LD2df2A,"Porque los latinos más que todo Sueña y Se Sacrifican Por ir a los estados unidos 😮? Si hay tantos Países Donde ir, Soy del Perú y Si algún día me Voy de mi País no Será a los Estados Unidos no me gusta ése País no es mi Sueño que Perezaaaaa, no Se Porque lo Ven Como Si fuera el Cielo Por Diossssssss🤨...",[0. 0. 0. ... 0. 0. 0.],latino sacrifican unido tanto unido gusta perezaaaaa cielo diossssssss,-1.0,0.010421013459563255,0.20491988956928253,0.05610654503107071
12,7GEthqco3Ys,UCKExCR-qyTjYgoHjp8VhhNg,Esta prometio vivienda asequible donde está lo que prometió  voto a favor de la ley y ahora está lavándose las manos  son todos unos mentirosos ya no voten por esta gente solo son mentiras y para lo que sirven es para beneficiarse en lo personal y joder la economía del estado,[0. 0. 0. ... 0. 0. 0.],prometio vivienda asequ prometi voto favor ahora ndose mano mentiroso voten gent solo mentira sirven beneficiars person joder econom,-1.0,0.006777001079171896,0.03751104697585106,0.027858121320605278
13,7GEthqco3Ys,UCdtkuCUkVXEMid-MysGu4wA,"Q pena mucha genten sin instrucción....son presa  fácil de los  temores ...de miedo...la ley es clara....los q estaban o están allí NO tienen nada q tener... SIMPLE.....en la agricultura se necesitan mucha mano de obra ilegal....y los REPÚBLICANOS.....NO son suicidas...quieren igualdad..
No q se aprovechen de ellos",[0. 0. 0. ... 0. 0. 0.],pena mucha genten instrucci presa temor miedo clara tener simpl agricultura necesitan mucha mano obra ileg blicano suicida quieren igualdad aprovechen,-1.0,0.008223067969083786,0.27303725481033325,0.07457025349140167
14,7GEthqco3Ys,UCQ1XXMvKnKlm-bRYGZelNjQ,I de donde son eyas hablan bien   Español de donde son i porke. Defienden no entiendo,[0. 0. 0. ... 0. 0. 0.],eya hablan bien espa pork defienden entiendo,-1.0,0.01666707918047905,0.06454700976610184,0.04053083434700966
