,Unnamed: 0,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,c_hateful,targeted,aggresive
0,0,AsMZK3aGFHs,UCdKDIaqBUVeHnZPu_ZxLhSw,"No me lo puedo creer . De verdad España le ha cedido el islote de perejil a Marruecos??????? Cómo, dónde , y  Por quéeeeeeee?????",[0. 0. 0. ... 0. 0. 0.],puedo creer verdad espa cedido islot perejil marrueco eeeeeee,-1.0,0.04653192684054375,0.004801112227141857,0.020855549722909927
1,1,AsMZK3aGFHs,UCPkFakCcbBKkwOXOxZM6s0g,Si... pero entre unos y otros ya se han encargado de destruirlo todo!! La verdad es que el ser humano es conflictivo complicado!!,[0. 0. 0. ... 0. 0. 0.],encargado destruirlo verdad humano conflictivo complicado,-1.0,0.0771416425704956,0.017214776948094368,0.04294898360967636
2,3,AsMZK3aGFHs,UC4DFxGYtyWZnWwAopqTU2LA,El motivo fue que el asesino franco estaba muy ocupado robando en España.,[0. 0. 0. ... 0. 0. 0.],motivo asesino franco ocupado robando espa,-1.0,0.0490780770778656,0.022993063554167747,0.051507312804460526
3,4,AsMZK3aGFHs,UCEMTJtx6dRCBbsRo0BC0aNg,"Yo e tenido una duda 
Porque España no es una super potencia mas fuerte que Estados Unidos después dr tanto robo y saqueo de oro y otros minerales a América latina",[0. 0. 0. ... 0. 0. 0.],duda espa super potencia fuert unido despu robo saqueo mineral rica latina,-1.0,0.13946533203125,0.012405444867908955,0.05023137852549553
4,6,AsMZK3aGFHs,UCBa0PWeslUmIAsly31x9aZA,"Muito bem , a Espanha é um país muito lindo que eu gosto muito . Mas é bom que todos os espanhois o saibam , que a Espanha ocupa o território de Olivença que é português. Sim Olivença é território português administrado pela Espanha roubado a Portugal pela força das armas em 1801 , e pelo Tratado de Viena de 1815 a Espanha assinou este tratado em 1817  reconheceu o território de Olivença como território português e se comprometeu a devolver Olivença a Portugal o mais rápido que possivel, e até hoje continuamos esperando . Porque a Espanha não cumpre  não respeita os acordos internacionais. Uma situação triste entre dois países irmãos. Com praticamente a mesma história e mesma cultura .",[0. 0. 0. ... 0. 0. 0.],muito espanha muito lindo gosto muito espanhoi saibam espanha ocupa territ oliven portugu oliven territ portugu administrado pela espanha roubado portug pela arma pelo tratado viena espanha assin tratado reconheceu territ oliven territ portugu comprometeu devolv oliven portug mai pido possivel hoje continuamo esperando espanha cumpr respeita acordo internacionai situa trist doi praticament mesma hist mesma cultura,-1.0,0.1335906982421875,0.012539912015199661,0.0708593875169754
5,7,AsMZK3aGFHs,UCUZjUVCirOuIvVxYFN7p85Q,Eres pro maruecos bete de YouTuber. 😡nadie teciere. Tepagan pordesir bueno ymalo delos payses,[0. 0. 0. ... 0. 0. 0.],marueco bete youtub nadi tecier tepagan pordesir bueno ymalo delo pays,-1.0,0.09621454030275345,0.0389079712331295,0.07038246095180511
6,17,AsMZK3aGFHs,UCl0hD35Au6px5TzunIIxL0g,That is NOT nothing……….Gypsy Spain is weak……..with a Macarena dancing cowardly Gypsy Spanish army………and yet Gibraltar is still British 🇬🇧 which Spain. Has try numerous times to retake it and yet failed 😂😂😂😂😂😂😂😂😂evert rime they try to siege Gibraltar……..these Gypsy Spaniards were always surrendering to their British 🇬🇧 GODZ,[0. 0. 0. ... 0. 0. 0.],that noth gypsi spain weak with macarena danc cowardli gypsi spanish armi gibraltar still british which spain numer time retak fail evert rime they sieg gibraltar these gypsi spaniard were alway surrend their british godz,-1.0,0.67243492603302,0.04444420710206032,0.464040607213974
7,27,3FFOxhBSYAs,UChTb1FtVeaJIsebShJvghkw,"España es un país transcontinental como Rusia, Turquía, Francia y tantos otros. Ceuta y Melilla no “pertenecen” a España, son España como Soria, Ibiza o El Hierro. Los periodistas jugando con las palabras para tergiversar la historia.",[0. 0. 0. ... 0. 0. 0.],espa transcontinent rusia turqu francia tanto ceuta melilla pertenecen espa espa soria ibiza hierro periodista jugando palabra tergiversar historia,-1.0,0.04093662276864052,0.006625976879149675,0.028926093131303787
8,29,3FFOxhBSYAs,UCkATXEgXbCwxRWBlN4EuEKA,Ahora tiendo dónde viene la problema de los ocupás ...de la cultura de los rateros peratas Ceuta Melilla 7:15,[0. 0. 0. ... 0. 0. 0.],ahora tiendo vien problema ocup cultura ratero perata ceuta melilla,-1.0,0.19239294528961182,0.030070427805185318,0.1751122623682022
9,33,3FFOxhBSYAs,UCk_jPDNmD3xE25lPvSuL8ow,"Vaya antes del siglo XV y del siglo VII y verá que los que los colonialistas son los Árabes Islámicos

Además por su posición geográfica en una de las principales vías marítimas del mundo el futuro de Ceuta y Melilla no depende ni dependerá jamás de Marruecos como ha sido siempre a lo largo de la historia y por eso mismo son Españolas mal que le pese a la BBC y a los cipayos Hispanoamericanos a su servicio.",[0. 0. 0. ... 0. 0. 0.],vaya siglo siglo colonialista rabe mico adem posici geogr fica principal tima mundo futuro ceuta melilla depend depend marrueco sido siempr largo historia mismo espa ola pese cipayo hispanoamericano servicio,-1.0,0.7484608292579651,0.02260764315724373,0.4196498692035675
